,X,Y,ratio_percent,sex
RNASEQ_s1_0R.bam,7020206,8813,0.13,F
RNASEQ_s1_1R.bam,6481287,8229,0.13,F
RNASEQ_s1_30R.bam,6353153,10577,0.17,F
RNASEQ_s1_90R.bam,5710686,5861,0.1,F
RNASEQ_s10_0R.bam,8552816,16766,0.2,F
RNASEQ_s10_1R.bam,8223235,15716,0.19,F
RNASEQ_s10_30R.bam,2041250,4303,0.21,F
RNASEQ_s10_90R.bam,9441550,9928,0.11,F
RNASEQ_s11_0R.bam,8979386,9950,0.11,F
RNASEQ_s11_1R.bam,11052927,12701,0.11,F
RNASEQ_s11_30R.bam,8639627,11943,0.14,F
RNASEQ_s11_90R.bam,9033316,7619,0.08,F
RNASEQ_s14_0R.bam,8136068,14310,0.18,F
RNASEQ_s14_1R.bam,9151301,8430,0.09,F
RNASEQ_s14_30R.bam,9107447,9529,0.1,F
RNASEQ_s14_90R.bam,9428150,10280,0.11,F
RNASEQ_s2_0R.bam,10479713,8420,0.08,F
RNASEQ_s2_1R.bam,10932013,8461,0.08,F
RNASEQ_s2_90R.bam,6232803,4038,0.06,F
RNASEQ_s4_0R.bam,7158928,6190,0.09,F
RNASEQ_s4_1R.bam,6867636,4769,0.07,F
RNASEQ_s4_30R.bam,7639847,236835,3.1,F
RNASEQ_s4_90R.bam,5894626,6342,0.11,F
RNASEQ_s7_0R.bam,5072063,166145,3.28,F
RNASEQ_s7_1R.bam,7095500,216574,3.05,F
RNASEQ_s7_30R.bam,7028403,201550,2.87,F
RNASEQ_s7_90R.bam,5712691,170604,2.99,F
RNASEQ_s8_0R.bam,7262259,6164,0.08,F
RNASEQ_s8_1R.bam,6550074,6746,0.1,F
RNASEQ_s8_30R.bam,6873598,5919,0.09,F
RNASEQ_s8_90R.bam,7251418,5097,0.07,F
RNASEQ_s9_0R.bam,7798584,9511,0.12,F
RNASEQ_s9_1R.bam,6704056,6754,0.1,F
RNASEQ_s9_30R.bam,6738812,6512,0.1,F
RNASEQ_s9_90R.bam,5781453,3555,0.06,F
RNASEQ_s3_0R.bam,7871286,234624,2.98,M
RNASEQ_s3_1R.bam,8816378,261272,2.96,M
RNASEQ_s3_30R.bam,7435680,220251,2.96,M
RNASEQ_s3_90R.bam,6300262,211658,3.36,M
RNASEQ_s5_0R.bam,8227668,297420,3.61,M
RNASEQ_s5_1R.bam,9871754,300121,3.04,M
RNASEQ_s5_30R.bam,9160641,283619,3.1,M
RNASEQ_s5_90R.bam,9306969,278127,2.99,M
RNASEQ_s6_0R.bam,8191509,8705,0.11,M
RNASEQ_s6_1R.bam,8032262,8128,0.1,M
RNASEQ_s6_30R.bam,9200853,9276,0.1,M
RNASEQ_s6_90R.bam,6347509,6904,0.11,M
RNASEQ_s12_0R.bam,10081822,290544,2.88,M
RNASEQ_s12_1R.bam,8811595,226682,2.57,M
RNASEQ_s12_30R.bam,8420293,218331,2.59,M
RNASEQ_s12_90R.bam,6379847,220180,3.45,M
RNASEQ_s13_0R.bam,6987627,173221,2.48,M
RNASEQ_s13_1R.bam,8871738,209905,2.37,M
RNASEQ_s13_30R.bam,8619853,217843,2.53,M
RNASEQ_s13_90R.bam,6427285,167081,2.6,M
RNASEQ_s15_0R.bam,8396611,215626,2.57,M
RNASEQ_s15_1R.bam,8393660,230604,2.75,M
RNASEQ_s15_30R.bam,8711595,229168,2.63,M
RNASEQ_s15_90R.bam,8183332,179434,2.19,M
